command,subcommand,total,value_position,statement_position,repo_breadth,dominant_arity,dominant_arity_count,all_args_literal,some_args_substituted,in_registry
set,,101221,606,100615,21,2,100922,29328,71893,true
if,,50068,8,50060,21,2,36819,49961,107,true
return,,27889,1,27888,21,1,19058,14098,13791,true
proc,,20743,0,20743,21,3,20732,20593,150,true
list,,15126,14981,145,20,2,5073,5236,9890,true
variable,,14940,1,14939,20,1,11287,13106,1834,true
expr,,13036,12784,252,20,1,12140,11901,1135,true
lappend,,12102,14,12088,20,2,9334,3631,8471,true
foreach,,11302,1,11301,20,3,10891,1234,10068,true
puts,,10144,1,10143,19,2,5359,1758,8386,true
lindex,,8464,8420,44,20,2,8265,2,8462,true
incr,,6202,578,5624,21,1,4524,5402,800,true
file,join,4154,4150,4,20,3,3139,34,4120,true
upvar,,3907,0,3907,10,2,1782,707,3200,true
append,,3616,65,3551,18,2,2865,1011,2605,true
package,require,3462,10,3452,21,2,2354,3404,58,true
file,dirname,2849,2847,2,21,2,2849,0,2849,true
bind,,2608,57,2551,6,3,2551,1624,984,true
dict,set,2416,3,2413,13,4,2057,888,1528,true
catch,,2293,596,1697,18,1,1690,2245,48,true
switch,,2172,18,2154,12,4,915,0,2172,true
split,,2034,2024,10,15,2,1951,1,2033,true
dict,get,1980,1979,1,19,3,1828,0,1980,true
namespace,eval,1916,9,1907,19,3,1913,1819,97,true
break,,1820,0,1820,17,0,1820,1820,0,true
array,set,1817,0,1817,9,3,1816,884,933,true
error,,1778,0,1778,17,1,1697,714,1064,true
for,,1754,0,1754,20,4,1753,1753,1,true
info,script,1754,1752,2,21,1,1752,1752,2,true
continue,,1658,0,1658,14,0,1658,1658,0,true
lassign,,1547,57,1490,16,3,783,20,1527,true
string,range,1473,1467,6,12,4,1470,0,1473,true
format,,1409,1265,144,13,2,871,207,1202,true
lrange,,1404,1402,2,13,3,1404,2,1402,true
while,,1387,0,1387,16,2,1387,1386,1,true
llength,,1349,1344,5,17,1,1349,0,1349,true
unset,,1347,13,1334,11,1,1130,856,491,true
join,,1345,1333,12,17,2,1286,28,1317,true
string,map,1281,1256,25,17,3,1273,3,1278,true
file,tail,1198,1197,1,13,2,1198,0,1198,true
file,normalize,1150,1147,3,20,2,1150,0,1150,true
image,create,1063,795,268,6,6,674,638,425,true
global,,1056,0,1056,15,1,787,1050,6,true
close,,1015,15,1000,15,1,1002,1,1014,true
lsort,,1005,998,7,11,2,435,2,1003,true
source,,1003,4,999,17,1,964,18,985,true
eval,,970,471,499,9,1,546,5,965,true
string,trim,948,942,6,14,2,707,0,948,true
namespace,export,942,1,941,14,2,520,926,16,true
regsub,,920,313,607,14,4,371,0,920,true
linsert,,915,911,4,11,3,608,0,915,true
pack,<dynamic>,896,0,896,5,5,352,0,896,true
uplevel,,872,383,489,15,2,612,81,791,true
package,provide,779,16,763,19,3,763,720,59,true
package,ifneeded,744,7,737,14,4,737,5,739,true
lreplace,,678,678,0,10,3,373,0,678,true
array,names,674,672,2,8,2,535,572,102,true
open,,668,662,6,15,2,569,38,630,true
concat,,642,641,1,11,2,440,5,637,true
grid,<dynamic>,608,0,608,6,7,161,0,608,true
string,length,556,556,0,9,2,556,1,555,true
namespace,upvar,539,0,539,4,4,356,436,103,true
interp,alias,527,5,522,8,5,232,246,281,true
pwd,,521,521,0,7,0,521,521,0,true
array,get,514,509,5,7,2,480,477,37,true
namespace,import,487,0,487,15,2,430,473,14,true
destroy,,477,0,477,6,1,467,200,277,true
dict,create,470,470,0,16,1,165,245,225,true
read,,468,465,3,14,1,280,3,465,true
lsearch,,455,454,1,9,3,271,0,455,true
option,add,438,0,438,4,3,246,222,216,true
msgcat::mc,,431,431,0,4,1,417,399,32,true
file,rootname,411,411,0,13,2,411,0,411,true
string,tolower,398,395,3,13,2,398,3,395,true
array,unset,390,0,390,7,2,208,283,107,true
oo::class,create,386,0,386,10,3,386,386,0,true
update,,351,0,351,7,0,189,330,21,true
namespace,current,346,325,21,8,1,346,346,0,true
frame,,336,66,270,6,1,151,146,190,true
binary,scan,334,4,330,2,4,245,0,334,true
focus,,321,43,278,5,1,239,50,271,true
string,first,312,312,0,6,3,274,0,312,true
button,,311,74,237,4,5,227,152,159,true
rename,,311,0,311,9,2,311,217,94,true
string,repeat,303,303,0,8,3,303,104,199,true
regexp,,296,143,153,12,4,100,4,292,true
file,delete,292,8,284,13,3,194,36,256,true
label,,290,43,247,6,3,73,97,193,true
binary,format,285,280,5,4,3,172,46,239,true
exec,,285,108,177,15,3,86,92,193,true
glob,,282,282,0,12,2,96,21,261,true
lset,,274,3,271,10,3,225,19,255,true
wm,title,263,6,257,6,3,258,88,175,true
after,idle,260,50,210,5,2,228,67,193,true
grid,columnconfigure,253,0,253,6,5,232,79,174,true
clock,format,251,251,0,9,4,171,0,251,true
info,level,251,249,2,9,2,139,243,8,true
bindtags,,244,110,134,5,2,133,24,220,true
string,trimleft,243,242,1,8,3,195,0,243,true
ticklecharts::chart,new,233,233,0,4,1,232,233,0,true
string,trimright,231,231,0,9,3,138,0,231,true
toplevel,,231,21,210,6,1,174,85,146,true
file,root,224,224,0,3,2,224,0,224,true
::set,,215,4,211,3,2,212,64,151,true
clock,seconds,210,210,0,9,1,210,210,0,true
string,index,208,208,0,9,3,208,0,208,true
scan,,207,52,155,8,3,116,2,205,true
subst,,206,202,4,11,1,171,28,178,true
namespace,ensemble,203,18,185,8,2,160,175,28,true
dict,remove,192,192,0,5,3,70,0,192,true
seek,,191,0,191,2,3,174,0,191,true
exit,,181,0,181,12,1,118,167,14,true
fconfigure,,179,35,144,6,3,99,3,176,true
event,add,174,0,174,3,3,135,172,2,true
string,toupper,169,168,1,8,2,166,0,169,true
ttk::frame,,167,105,62,4,1,128,42,125,true
tk_messageBox,,165,23,142,7,6,71,57,108,true
cd,,161,0,161,7,1,161,27,134,true
clock,scan,157,157,0,6,4,83,41,116,true
file,extension,157,157,0,8,2,157,0,157,true
winfo,parent,155,154,1,5,2,155,5,150,true
bell,,154,0,154,3,0,154,154,0,true
event,generate,151,0,151,5,3,98,23,128,true
grid,rowconfigure,150,0,150,6,5,145,43,107,true
dict,keys,147,147,0,10,2,143,0,147,true
after,cancel,146,0,146,6,2,146,0,146,true
file,split,145,145,0,7,2,145,0,145,true
ttk::label,,145,86,59,4,3,101,16,129,true
wm,geometry,142,46,96,6,3,95,39,103,true
tcltest::configure,,138,124,14,4,1,127,130,8,true
winfo,name,137,137,0,4,2,137,3,134,true
wm,withdraw,135,0,135,6,2,135,69,66,true
file,mkdir,133,1,132,6,2,133,7,126,true
*,,129,129,0,2,2,126,0,129,true
vwait,,125,0,125,7,1,125,83,42,true
namespace,code,121,121,0,4,2,121,37,84,true
snit::type,,118,0,118,2,2,118,118,0,true
after,<dynamic>,114,68,46,7,2,94,0,114,true
fileevent,,114,0,114,4,3,114,0,114,true
::list,,113,113,0,2,2,48,22,91,true
place,<dynamic>,111,0,111,3,7,29,0,111,true
dict,for,110,1,109,12,4,110,0,110,true
ttk::button,,108,55,53,4,5,80,11,97,true
lmap,,106,97,9,13,3,81,1,105,true
ttk::style,lookup,105,105,0,4,3,58,85,20,true
info,commands,103,101,2,7,2,98,73,30,true
::tcltest::test,,102,0,102,1,12,73,82,20,true
trace,add,102,0,102,6,5,102,28,74,true
wm,attributes,102,12,90,4,4,91,7,95,true
file,copy,101,0,101,6,4,82,8,93,true
flush,,101,0,101,7,1,101,46,55,true
wm,iconname,101,0,101,3,3,101,22,79,true
namespace,origin,100,100,0,3,2,100,97,3,true
winfo,toplevel,100,100,0,4,2,100,6,94,true
try,,98,0,98,12,5,71,97,1,true
menu,<dynamic>,96,28,68,3,3,61,0,96,true
ttk::style,configure,96,9,87,4,4,62,17,79,true
map,,93,38,55,2,5,34,24,69,true
info,exists,90,87,3,6,2,90,24,66,true
namespace,delete,88,0,88,7,2,88,44,44,true
+,,87,63,24,6,2,65,20,67,true
font,actual,87,87,0,5,3,51,53,34,true
-,,86,83,3,4,2,58,27,59,true
namespace,parent,86,86,0,3,1,59,59,27,true
winfo,class,86,86,0,5,2,86,1,85,true
winfo,pixels,86,85,1,2,3,86,0,86,true
dict,lappend,83,0,83,6,4,78,0,83,true
winfo,children,83,83,0,5,2,83,12,71,true
wm,deiconify,81,0,81,5,2,81,29,52,true
export,,79,0,79,6,1,42,78,1,true
gets,,79,28,51,6,2,48,13,66,true
string,replace,77,76,1,7,5,66,0,77,true
tcltest::test,,77,0,77,3,6,38,34,43,true
ttk::style,theme,77,15,62,4,4,44,59,18,true
interp,eval,76,19,57,3,3,73,4,72,true
oo::define,,73,0,73,8,2,44,49,24,true
file,rename,70,0,70,11,3,48,8,62,true
scrollbar,,69,18,51,4,5,32,24,45,true
auto_execok,,68,68,0,8,1,68,54,14,true
ttk::style,map,68,15,53,4,4,43,12,56,true
canvas,<dynamic>,66,29,37,5,9,30,0,66,true
string,match,66,66,0,8,3,65,0,66,true
tailcall,,66,0,66,4,2,29,3,63,true
font,configure,65,21,44,3,4,26,18,47,true
::namespace,eval,64,0,64,1,3,64,60,4,true
::tcltest::cleanupTests,,63,0,63,3,0,61,63,0,true
lreverse,,63,63,0,10,1,63,2,61,true
canvas,.c,62,34,28,3,7,28,60,2,true
raise,,61,0,61,5,1,58,8,53,true
winfo,rgb,60,59,1,5,3,60,5,55,true
clock,milliseconds,59,59,0,7,1,59,59,0,true
string,last,59,59,0,6,3,55,0,59,true
scale,,58,38,20,3,2,26,28,30,true
after,100,56,5,51,5,2,47,14,42,true
argparse,,56,14,42,4,3,46,47,9,true
time,,56,54,2,3,2,36,51,5,true
winfo,width,56,56,0,6,2,56,1,55,true
::asn::asnGetSequence,,55,0,55,1,2,55,55,0,true
oo::configurable,create,55,0,55,3,3,55,55,0,true
text,<dynamic>,54,19,35,5,5,8,0,54,true
/,,53,53,0,3,2,53,18,35,true
radiobutton,,53,2,51,4,5,19,14,39,true
string,is,53,34,19,9,3,32,3,50,true
::msgcat::mc,,52,52,0,4,1,52,45,7,true
namespace,tail,52,51,1,8,2,52,0,52,true
dict,append,51,0,51,3,3,31,0,51,true
interp,delete,51,0,51,5,2,51,5,46,true
winfo,reqheight,50,50,0,5,2,50,4,46,true
dict,merge,48,48,0,7,3,46,0,48,true
font,create,48,5,43,4,6,23,31,17,true
lrepeat,,48,48,0,8,2,48,27,21,true
entry,<dynamic>,47,6,41,4,5,17,0,47,true
fileutil::cat,,47,47,0,5,1,46,16,31,true
::log::log,,46,0,46,1,2,46,0,46,true
trace,remove,46,0,46,7,5,44,0,46,true
ttk::style,layout,46,7,39,4,3,39,28,18,true
winfo,reqwidth,46,46,0,5,2,46,3,43,true
wm,geom,46,1,45,2,3,45,39,7,true
http::geturl,,45,45,0,3,1,38,37,8,true
winfo,height,45,45,0,6,2,45,4,41,true
info,hostname,43,43,0,3,1,43,43,0,true
namespace,which,43,41,2,5,3,24,40,3,true
string,equal,42,40,2,8,3,42,0,42,true
string,totitle,42,42,0,7,2,37,0,42,true
::variable,,41,0,41,1,1,36,39,2,true
log::log,,41,0,41,1,2,41,7,34,true
fcopy,,40,1,39,2,2,17,0,40,true
font,measure,40,39,1,4,5,25,2,38,true
tell,,40,40,0,2,1,40,0,40,true
tcltest::testConstraint,,39,1,38,1,2,38,19,20,true
::http::data,,38,38,0,2,1,38,0,38,true
::ttk::style,element,38,0,38,1,11,13,0,38,true
apply,,38,3,35,4,2,32,7,31,true
grid,configure,38,0,38,5,4,24,5,33,true
interp,create,38,31,7,5,1,22,34,4,true
file,size,37,37,0,5,2,37,0,37,true
tcltest::cleanupTests,,37,0,37,4,0,37,37,0,true
Markdown::convert,,36,5,31,2,1,33,20,16,true
chan,configure,36,0,36,4,4,27,0,36,true
encoding,convertto,36,35,1,3,3,36,3,33,true
fileutil::writeFile,,36,0,36,2,2,36,0,36,true
pid,,36,36,0,4,0,34,34,2,true
struct::list,assign,36,0,36,2,4,25,0,36,true
yield,,36,2,34,3,0,27,31,5,true
::if,,35,0,35,1,2,20,35,0,true
file,attributes,35,7,28,3,4,26,0,35,true
info,body,35,35,0,6,2,35,12,23,true
tk,windowingsystem,35,35,0,2,1,35,35,0,true
checkbutton,,34,2,32,4,7,13,13,21,true
ftp::DisplayMsg,,34,0,34,1,2,22,4,30,true
http::register,,34,0,34,4,3,34,5,29,true
info,nameofexecutable,34,34,0,5,1,34,34,0,true
::foreach,,33,0,33,1,3,32,0,33,true
debug,level,33,0,33,2,2,33,33,0,true
debug,prefix,33,0,33,2,3,33,33,0,true
info,coroutine,33,33,0,3,1,33,33,0,true
struct::matrix,,33,1,32,3,1,33,33,0,true
wm,transient,33,3,30,5,3,30,0,33,true
!,,32,0,32,2,0,32,32,0,true
>>,,32,0,32,2,1,32,32,0,true
json::json2dict,,32,32,0,2,1,32,0,32,true
pack,configure,32,0,32,2,4,24,1,31,true
ttk::entry,,32,18,14,4,3,18,0,32,true
dict,getnull,31,31,0,1,3,31,0,31,true
info,class,31,31,0,3,4,16,8,23,true
ticklecharts::Gridlayout,new,30,30,0,3,1,30,30,0,true
::ttk::style,layout,29,9,20,2,3,20,11,18,true
dict,incr,29,0,29,4,3,26,15,14,true
dict,unset,29,0,29,4,3,20,8,21,true
oo::objdefine,,29,0,29,3,2,19,14,15,true
socket,,29,28,1,2,2,13,1,28,true
console,show,28,0,28,4,1,28,28,0,true
winfo,rootx,28,28,0,5,2,28,1,27,true
::asn::asnSequence,,27,27,0,1,2,15,0,27,true
::chan,configure,27,10,17,1,4,17,0,27,true
after,50,27,10,17,5,2,23,6,21,true
snit::widget,,27,0,27,1,2,27,27,0,true
ttk::checkbutton,,27,11,16,4,5,15,0,27,true
wm,minsize,27,1,26,3,4,26,22,5,true
file,mtime,26,17,9,4,2,17,0,26,true
place,configure,26,0,26,2,6,12,0,26,true
dict,with,25,0,25,3,3,25,20,5,true
listbox,<dynamic>,25,9,16,4,7,7,0,25,true
ttk::separator,,25,11,14,3,3,11,5,20,true
::oo::define,,24,0,24,1,3,7,6,18,true
after,200,24,1,23,4,2,22,11,13,true
after,500,24,9,15,4,2,23,9,15,true
clipboard,append,24,0,24,4,4,20,0,24,true
dict,size,24,23,1,3,2,24,0,24,true
file,exists,24,23,1,5,2,24,6,18,true
html::font,,24,24,0,1,0,24,24,0,true
labelframe,,24,2,22,3,3,16,3,21,true
pack,.c,24,0,24,3,1,13,24,0,true
package,forget,24,0,24,6,2,24,11,13,true
::chan,event,23,3,20,1,4,20,0,23,true
clipboard,clear,23,0,23,4,3,20,8,15,true
font,metrics,23,23,0,3,3,22,5,18,true
namespace,children,23,23,0,7,2,14,15,8,true
struct::graph,,23,22,1,1,0,18,20,3,true
tk_popup,,23,0,23,3,3,22,0,23,true
ttk::combobox,,23,14,9,2,5,9,1,22,true
after,0,22,2,20,4,2,21,4,18,true
clock,clicks,22,22,0,5,1,12,22,0,true
cmdline::getArgv0,,22,22,0,1,0,22,22,0,true
encoding,convertfrom,22,22,0,4,3,22,2,20,true
parray,,22,6,16,2,1,22,21,1,true
place,forget,22,0,22,1,2,22,0,22,true
winfo,rooty,22,22,0,5,2,22,1,21,true
debug,<dynamic>,21,0,21,1,1,21,0,21,true
file,nativename,21,20,1,4,2,21,0,21,true
grid,forget,21,0,21,5,2,20,1,20,true
pack,.l,21,0,21,2,1,11,21,0,true
pack,forget,21,0,21,3,2,17,2,19,true
snit::widgetadaptor,,21,0,21,1,2,21,21,0,true
ticklecharts::chart3D,new,21,21,0,2,1,20,21,0,true
tk,appname,21,11,10,2,1,11,18,3,true
wm,protocol,21,0,21,5,4,21,3,18,true
::asn::asnGetObjectIdentifier,,20,0,20,1,2,20,20,0,true
::asn::asnPeekByte,,20,0,20,1,2,20,20,0,true
::asn::asnRetag,,20,0,20,1,2,20,20,0,true
::close,,20,0,20,1,1,20,0,20,true
after,10,20,4,16,5,2,19,4,16,true
binary,encode,20,19,1,5,3,17,0,20,true
option,get,20,19,1,3,4,20,7,13,true
::math::constants::constants,,19,0,19,5,3,14,19,0,true
::oo::class,create,19,0,19,2,3,19,15,4,true
::struct::tree,,19,1,18,1,3,18,1,18,true
::ttk::style,configure,19,0,19,2,6,9,1,18,true
after,1000,19,0,19,6,1,10,14,5,true
event,<dynamic>,19,0,19,2,4,13,0,19,true
grid,remove,19,0,19,3,2,17,0,19,true
image,delete,19,0,19,3,2,19,5,14,true
package,present,19,19,0,2,2,19,14,5,true
winfo,containing,19,19,0,3,3,14,0,19,true
winfo,y,19,19,0,2,2,19,0,19,true
::open,,18,18,0,1,2,18,0,18,true
::tcltest::testConstraint,,18,0,18,2,2,18,3,15,true
lpop,,18,18,0,3,2,10,18,0,true
string,cat,18,17,1,6,3,14,0,18,true
::msgcat::mcload,,17,3,14,5,1,17,0,17,true
canvas,.c2,17,9,8,2,7,8,16,1,true
clock,microseconds,17,17,0,3,1,17,17,0,true
dict,values,17,17,0,6,2,17,0,17,true
grab,release,17,0,17,4,2,17,0,17,true
logger::init,,17,15,2,1,1,17,13,4,true
namespace,path,17,0,17,3,2,16,13,4,true
oo::abstract,create,17,0,17,1,3,17,17,0,true
string,eq,17,17,0,1,3,17,0,17,true
tkwait,visibility,17,0,17,2,2,17,9,8,true
ttk::spinbox,,17,7,10,3,11,9,0,17,true
wm,overrideredirect,17,0,17,5,3,17,3,14,true
::stooop::virtual,,16,0,16,2,3,12,16,0,true
message,,16,4,12,3,5,10,8,8,true
string,compare,16,15,1,5,3,10,0,16,true
ttk::style,element,16,0,16,2,7,9,9,7,true
winfo,x,16,16,0,1,2,16,0,16,true
::cron::clock_sleep,,15,0,15,1,1,11,15,0,true
::stooop::class,,15,0,15,2,2,15,15,0,true
array,size,15,13,2,4,2,15,15,0,true
info,vars,15,12,3,5,2,10,8,7,true
lower,,15,0,15,3,1,15,0,15,true
lseq,,15,15,0,2,1,6,3,12,true
winfo,pointerxy,15,15,0,4,2,15,7,8,true
::chan,create,14,14,0,1,3,14,0,14,true
::fileutil::relative,,14,14,0,1,2,14,0,14,true
::lindex,,14,9,5,3,2,10,0,14,true
::ttk::style,theme,14,10,4,2,2,10,10,4,true
dict,replace,14,14,0,3,4,10,0,14,true
image,width,14,14,0,2,2,14,0,14,true
info,procs,14,14,0,6,2,13,11,3,true
namespace,qualifiers,14,14,0,6,2,14,0,14,true
pack,.l1,14,0,14,1,5,12,14,0,true
self,,14,4,10,5,3,6,14,0,true
tclLog,,14,0,14,1,1,14,0,14,true
textutil::repeat::strRepeat,,14,13,1,1,2,14,0,14,true
ttk::menubutton,,14,1,13,2,7,8,0,14,true
winfo,geometry,14,14,0,2,2,14,0,14,true
wm,resizable,14,1,13,6,4,13,1,13,true
::log::lvSuppress,,13,0,13,1,2,8,5,8,true
::tie::register,,13,0,13,1,3,13,13,0,true
after,2000,13,1,12,3,2,11,9,4,true
cat,,13,13,0,2,1,13,8,5,true
grab,<dynamic>,13,0,13,4,1,13,0,13,true
info,object,13,13,0,5,3,10,0,13,true
listbox,.l,13,0,13,2,7,8,7,6,true
package,req,13,1,12,2,2,13,13,0,true
tcltest::removeFile,,13,0,13,2,1,13,3,10,true
tk_getSaveFile,,13,12,1,5,6,3,4,9,true
winfo,id,13,13,0,3,2,13,10,3,true
winfo,manager,13,13,0,1,2,13,0,13,true
::chan,push,12,0,12,1,3,12,0,12,true
::math::polynomials::polynomial,,12,12,0,1,1,12,12,0,true
::math::rationalfunctions::rationalFunction,,12,12,0,1,2,12,12,0,true
base64::encode,,12,12,0,1,1,11,0,12,true
coroutine,,12,0,12,4,6,5,1,11,true
info,args,12,12,0,3,2,12,0,12,true
option,-command,12,0,12,2,3,9,11,1,true
pack,.f1,12,0,12,2,5,12,12,0,true
package,versions,12,12,0,9,2,12,7,5,true
tcltest::makeFile,,12,5,7,2,2,12,2,10,true
text,.t,12,1,11,2,9,3,8,4,true
tk,fontchooser,12,0,12,1,2,4,6,6,true
winfo,screen,12,12,0,4,2,12,2,10,true
::after,cancel,11,0,11,1,2,11,0,11,true
::append,,11,0,11,1,2,5,2,9,true
::info,level,11,11,0,1,2,9,9,2,true
::msgcat::mclocale,,11,5,6,4,1,6,7,4,true
array,name,11,11,0,2,4,6,5,6,true
canvas,.c1,11,9,2,1,3,5,11,0,true
dict,exists,11,11,0,4,3,7,0,11,true
dict,filter,11,11,0,3,4,6,0,11,true
fileutil::updateInPlace,,11,0,11,5,2,11,0,11,true
image,names,11,11,0,2,1,11,11,0,true
option,-variable,11,0,11,2,5,10,11,0,true
option,clear,11,0,11,2,1,11,11,0,true
snit::macro,,11,0,11,2,3,11,8,3,true
tcl::mathfunc::max,,11,11,0,3,1,11,0,11,true
tk,scaling,11,5,6,3,1,4,5,6,true
tk_dialog,,11,11,0,3,8,6,2,9,true
tk_focusNext,,11,7,4,2,1,11,10,1,true
ttk::radiobutton,,11,6,5,2,7,7,2,9,true
winfo,pointerx,11,11,0,4,2,11,6,5,true
::math::statistics::mean,,10,10,0,1,1,10,1,9,true
::math::statistics::stdev,,10,10,0,1,1,10,0,10,true
::namespace,export,10,0,10,1,2,9,10,0,true
::read,,10,10,0,2,1,7,0,10,true
::yaml::yaml2dict,,10,10,0,1,2,10,0,10,true
grab,-global,10,0,10,2,2,10,1,9,true
image,height,10,10,0,2,2,10,0,10,true
menubutton,,10,0,10,2,11,5,3,7,true
option,-height,10,0,10,2,2,4,10,0,true
option,-radius,10,0,10,1,5,9,10,0,true
pack,.f,10,0,10,3,5,6,10,0,true
struct::set,difference,10,10,0,1,3,10,0,10,true
tcltest::viewFile,,10,10,0,1,1,10,0,10,true
throw,,10,0,10,2,2,10,6,4,true
trace,info,10,10,0,6,3,10,7,3,true
uri::register,,10,0,10,1,2,10,10,0,true
winfo,pointery,10,10,0,4,2,10,6,4,true
winfo,screenwidth,10,10,0,5,2,10,1,9,true
winfo,viewable,10,10,0,2,2,10,0,10,true
::SASL::register,,9,0,9,1,4,6,9,0,true
::asn::asnGetInteger,,9,0,9,1,2,9,9,0,true
::cron::wake,,9,0,9,1,1,9,9,0,true
::ip::toInteger,,9,8,1,1,1,9,1,8,true
::math::bignum::mul,,9,9,0,1,2,9,0,9,true
::oo::objdefine,,9,0,9,1,5,9,0,9,true
::report::defstyle,,9,0,9,1,3,9,9,0,true
after,1,9,2,7,3,2,9,5,4,true
after,300,9,0,9,3,2,6,3,6,true
after,5000,9,2,7,4,2,5,7,2,true
binary,decode,9,8,1,3,3,8,1,8,true
canvas,.t.c,9,1,8,2,3,6,9,0,true
const,,9,1,8,5,2,8,7,2,true
file,pathtype,9,9,0,1,2,9,0,9,true
ftp::Type,,9,0,9,1,2,9,0,9,true
grid,.m.exit,9,0,9,1,7,9,9,0,true
grid,.m.map,9,0,9,1,9,9,9,0,true
grid,.m.rehome,9,0,9,1,7,9,9,0,true
http::cleanup,,9,0,9,2,1,9,0,9,true
http::data,,9,9,0,3,1,9,0,9,true
logger::initNamespace,,9,0,9,1,1,9,9,0,true
logger::levels,,9,9,0,1,0,9,9,0,true
lremove,,9,4,5,2,2,9,0,9,true
pack,.close,9,0,9,1,5,7,9,0,true
pack,.t.c,9,0,9,2,1,8,9,0,true
tk_getOpenFile,,9,8,1,3,6,4,3,6,true
trace,<dynamic>,9,0,9,1,1,9,0,9,true
ttk::panedwindow,,9,8,1,3,3,8,1,8,true
winfo,fpixels,9,9,0,2,3,9,0,9,true
wm,positionfrom,9,0,9,2,3,9,8,1,true
::after,<dynamic>,8,5,3,1,2,8,0,8,true
::asn::asnGetContext,,8,0,8,1,3,8,8,0,true
::asn::asnObjectIdentifier,,8,8,0,1,1,8,0,8,true
::cron::sleep,,8,0,8,1,1,8,4,4,true
::csv::joinlist,,8,8,0,1,2,8,0,8,true
::lrange,,8,5,3,3,3,8,0,8,true
::oo::object,new,8,8,0,1,1,8,8,0,true
::tcltest::customMatch,,8,0,8,1,2,8,7,1,true
::textutil::wcswidth_char,,8,6,2,1,1,8,1,7,true
after,20,8,0,8,3,2,5,4,4,true
canvas,.c3,8,5,3,1,7,4,8,0,true
clock,add,8,6,2,3,4,8,0,8,true
file,home,8,8,0,1,1,8,8,0,true
ftp::Close,,8,0,8,1,1,8,0,8,true
info,host,8,8,0,1,1,8,8,0,true
load,,8,0,8,5,3,5,1,7,true
md5::md5,,8,7,1,1,1,5,0,8,true
namespace,forget,8,0,8,3,2,8,4,4,true
option,-color,8,0,8,1,5,6,8,0,true
option,-create-cmd,8,0,8,1,5,4,8,0,true
registry,,8,8,0,1,3,7,1,7,true
selection,own,8,2,6,2,4,4,0,8,true
struct::tree,,8,1,7,1,1,7,8,0,true
textutil::adjust::indent,,8,7,1,2,3,5,0,8,true
tk_setPalette,,8,0,8,3,14,4,3,5,true
tkwait,variable,8,0,8,3,2,8,3,5,true
tkwait,window,8,0,8,4,2,8,2,6,true
ttk::scale,,8,5,3,2,9,6,0,8,true
ttk::treeview,<dynamic>,8,6,2,2,9,6,0,8,true
winfo,interps,8,5,3,2,1,7,7,1,true
winfo,ismapped,8,8,0,1,2,8,0,8,true
winfo,screenheight,8,8,0,5,2,8,1,7,true
::asn::asnGetBitString,,7,0,7,1,2,7,7,0,true
::incr,,7,0,7,1,2,6,7,0,true
::llength,,7,4,3,3,1,7,0,7,true
::split,,7,7,0,1,2,7,0,7,true
::stooop::delete,,7,0,7,1,1,7,0,7,true
::textutil::indent,,7,7,0,1,3,6,0,7,true
after,3000,7,0,7,3,2,6,5,2,true
bench::in::read,,7,7,0,2,1,7,0,7,true
chan,close,7,0,7,2,2,7,0,7,true
chan,event,7,0,7,1,4,7,0,7,true
fileutil::stripPath,,7,7,0,2,2,7,0,7,true
ftp::Delete,,7,0,7,1,2,7,0,7,true
grab,current,7,7,0,2,2,7,2,5,true
grab,set,7,0,7,4,2,6,0,7,true
grid,columnconfig,7,0,7,2,7,4,0,7,true
info,frame,7,7,0,3,2,5,5,2,true
info,proc,7,7,0,3,2,7,4,3,true
log::lvSuppressLE,,7,0,7,1,2,6,5,2,true
mime::initialize,,7,7,0,1,6,3,0,7,true
option,-background,7,0,7,1,3,4,7,0,true
option,-hilit-color,7,0,7,1,5,6,7,0,true
option,-kind,7,0,7,1,5,6,7,0,true
option,-width,7,0,7,1,2,4,7,0,true
pack,.t,7,0,7,1,5,6,7,0,true
struct::set,union,7,7,0,2,3,6,0,7,true
tcl::mathfunc::min,,7,7,0,2,1,7,0,7,true
tcltest::makeDirectory,,7,0,7,1,1,7,2,5,true
textutil::indent,,7,7,0,1,2,6,0,7,true
tk,systray,7,0,7,1,4,4,7,0,true
ttk::notebook,<dynamic>,7,5,2,3,1,4,0,7,true
winfo,exists,7,6,1,4,2,7,1,6,true
wm,iconphoto,7,0,7,3,3,4,1,6,true
::asn::asnBitString,,6,6,0,1,1,6,0,6,true
::asn::asnNull,,6,6,0,1,0,6,6,0,true
::base64::encode,,6,6,0,1,1,3,0,6,true
::doctools::new,,6,0,6,2,5,4,4,2,true
::ip::maskToInt,,6,4,2,1,1,6,2,4,true
::lappend,,6,0,6,1,2,6,0,6,true
::math::roman::tointeger,,6,6,0,1,1,6,0,6,true
